Index,프로젝트번호,블록번호,행개수,열개수,중량,공정투입일,공정반출일,선호작업장,선호지번
39,2485,21D,20.5,45.8,608,2020-03-26,2020-04-23,,
40,2486,12B,22.1,35,492,2019-11-11,2019-12-03,,
41,2486,10G,21.9,46.4,459,2019-12-04,2019-12-26,,
42,2486,13B,22.1,11.7,207,2019-11-06,2019-12-03,,
43,2486,10C,21.9,44.4,579,2019-11-14,2019-12-13,,
44,2486,80A,37.9,27.5,744,2019-12-16,2020-01-14,,
45,2486,10J,16.5,42.4,354,2019-12-02,2019-12-24,,
46,2486,21D,20.5,45.8,620,2019-11-08,2019-12-04,,
47,2486,10D,21.4,46.4,588,2019-11-28,2019-12-16,,
48,2486,10H,16.5,38.2,730,2019-11-14,2019-12-23,,
49,2486,63A,55,16.5,489,2019-11-18,2019-12-06,,
50,2486,51A,45.4,19.2,445,2019-12-16,2020-01-29,,
51,2486,10A,48.5,44.2,1909,2019-10-28,2019-11-29,2,
52,2486,80B,25.7,30.3,636,2019-12-20,2020-01-20,,
53,2486,22D,19.2,41,455,2019-11-13,2019-12-04,,
54,2486,10E,21.9,46.4,389,2019-12-02,2019-12-20,,
55,2486,80E,12.8,39.3,389,2019-12-17,2020-01-17,,
56,2486,62A,55,16.5,488,2019-11-18,2019-12-06,,
57,2486,10F,21.4,46.4,554,2019-12-05,2019-12-24,,
58,2487,10D,21.4,46.4,588,2020-01-08,2020-01-31,,
59,2487,21D,20.5,45.8,620,2019-12-12,2020-01-07,,
60,2487,13B,22.1,11.7,207,2019-12-11,2020-01-13,,
61,2487,12B,22.1,35,492,2019-12-11,2020-01-13,,
62,2487,80A,37.9,27.5,744,2020-02-05,2020-03-06,,
63,2487,51A,39.5,17.5,889,2020-02-07,2020-03-12,,
64,2487,10C,21.9,44.4,579,2019-12-24,2020-01-21,,
65,2487,80B,25.7,30.3,636,2020-02-12,2020-03-11,,
66,2487,22D,19.2,41,455,2019-12-12,2020-01-07,,
67,2487,10E,21.9,46.4,389,2020-01-10,2020-02-03,,
68,2487,10F,21.4,46.4,554,2020-01-13,2020-02-05,,
69,2487,10J,16.5,42.4,354,2020-01-13,2020-02-06,,
70,2487,10A,48.5,44.2,1909,2019-11-29,2020-01-08,2,
71,2487,10G,21.9,46.4,459,2020-01-14,2020-02-07,,
72,2487,10H,16.5,38.2,730,2019-12-24,2020-02-04,,
73,2487,80E,12.8,39.3,389,2020-02-11,2020-03-09,,
74,2492,80E,12.8,39.3,484,2019-12-13,2020-01-15,,
75,2492,51A,39.5,17.5,346,2019-12-12,2020-01-22,,
76,2492,10C,21.9,44.4,369,2019-11-13,2019-12-11,,
77,2492,10F,21.4,46.4,446,2019-12-04,2019-12-20,,
78,2492,10J,16.5,42.4,301,2019-12-02,2019-12-20,,
79,2492,10G,21.9,46.4,361,2019-12-03,2019-12-24,,
80,2492,10D,21.4,46.4,444,2019-11-15,2019-12-13,,
81,2492,21D,20.5,45.8,598,2019-11-07,2019-12-02,,
82,2492,13B,22.1,11.7,184,2019-11-06,2019-12-02,,
83,2492,80B,25.7,30.3,305,2019-12-19,2020-01-16,,
84,2492,22D,19.2,41,417,2019-11-06,2019-12-02,,
85,2492,10E,21.9,46.4,291,2019-11-20,2019-12-17,,
86,2492,80A,37.9,27.5,623,2019-12-09,2020-01-09,,
87,2492,10H,16.5,38.2,591,2019-11-14,2019-12-18,,
88,2492,11A,48.5,44.2,1457,2019-10-23,2019-11-27,2,
89,2492,12B,22.1,35,328,2019-11-06,2019-11-29,,
90,2496,63A,55,16.5,489,2020-03-25,2020-04-22,,
91,2496,80A,37.9,27.5,744,2020-04-23,2020-05-28,,
92,2496,51A,45.4,19.2,445,2020-04-27,2020-06-03,,
93,2496,10H,19.7,36.5,639,2020-04-01,2020-05-06,,
94,2496,10D,21.4,46.4,588,2020-04-01,2020-05-04,,
95,2496,10C,21.9,44.4,579,2020-03-31,2020-04-28,,
96,2496,80B,25.7,30.3,636,2020-05-08,2020-06-04,,
97,2496,22D,19.2,41,455,2020-03-24,2020-04-20,,
98,2496,10E,21.9,46.4,389,2020-04-02,2020-05-04,,
99,2496,10G,21.9,46.4,459,2020-04-13,2020-05-11,,
100,2496,21D,20.5,45.8,620,2020-03-30,2020-04-20,,
101,2496,13B,22.1,11.7,207,2020-03-23,2020-04-20,,
102,2496,11A,52.2,43.4,1549,2020-03-09,2020-04-14,2,
103,2496,10F,21.4,46.4,554,2020-04-13,2020-05-07,,
104,2496,62A,55,16.5,488,2020-03-25,2020-04-22,,
105,2496,10J,16.5,42.4,354,2020-04-09,2020-05-08,,
106,2496,80E,12.8,39.3,389,2020-05-07,2020-06-03,,
107,2496,12B,22.1,35,492,2020-03-19,2020-04-20,,
108,2497,80E,12.8,39.3,389,2020-06-16,2020-07-15,,
109,2497,10F,21.4,46.4,554,2020-05-20,2020-06-17,,
110,2497,80A,37.9,27.5,744,2020-06-10,2020-07-09,,
111,2497,51A,45.4,19.2,445,2020-06-09,2020-07-14,,
112,2497,10C,21.9,44.4,579,2020-05-12,2020-06-08,,
113,2497,80B,25.7,30.3,636,2020-06-16,2020-07-16,,
114,2497,22D,19.2,41,455,2020-04-28,2020-05-26,,
115,2497,10E,21.9,46.4,389,2020-05-18,2020-06-12,,
116,2497,10H,19.7,36.5,639,2020-05-18,2020-06-15,,
117,2497,21D,20.5,45.8,620,2020-04-28,2020-05-26,,
118,2497,12B,22.1,35,492,2020-04-27,2020-05-28,,
119,2497,10D,21.4,46.4,588,2020-05-13,2020-06-11,,
120,2497,10G,21.9,46.4,459,2020-05-22,2020-06-19,,
121,2497,13B,22.1,11.7,207,2020-04-29,2020-05-29,,
122,2497,11A,52.2,43.4,1549,2020-04-17,2020-05-26,2,
123,2497,10J,16.5,42.4,354,2020-05-27,2020-06-18,,
124,2498,10D,21.4,47.9,588,2020-02-24,2020-03-20,,
125,2498,10J,17.3,43.8,413,2020-03-06,2020-03-30,,
126,2498,13H,17.3,18.2,363,2020-02-26,2020-03-25,,
127,2498,80B,28.4,31.7,528,2020-03-24,2020-04-23,,
128,2498,12B,22.1,35.5,510,2020-02-05,2020-03-10,,
129,2498,62A,55.5,15.1,427,2020-02-14,2020-03-11,,
130,2498,10F,21.4,47.9,565,2020-03-06,2020-03-27,,
131,2498,22D,19.4,42.4,497,2020-02-13,2020-03-04,,
132,2498,10E,21.9,47.9,386,2020-02-25,2020-03-24,,
133,2498,13B,22.1,12.5,212,2020-02-05,2020-03-10,,
